ts_code,symbol,name,area,industry
NU,NU,Nu Holdings Ltd.,US,Unknown
ACHR,ACHR,Archer Aviation Inc.,US,Unknown
FIG,FIG,"Figma, Inc.",US,Unknown
TSM,TSM,Taiwan Semiconductor Manufacturing Company Limited,US,Unknown
DNN,DNN,Denison Mines Corp.,US,Unknown
PATH,PATH,"UiPath, Inc.",US,Unknown
IONQ,IONQ,"IonQ, Inc.",US,Unknown
FRMI,FRMI,Fermi Inc.,US,Unknown
NBIS,NBIS,Nebius Group N.V.,US,Unknown
RGTI,RGTI,"Rigetti Computing, Inc.",US,Unknown
CLF,CLF,Cleveland-Cliffs Inc.,US,Unknown
NIO,NIO,NIO Inc.,US,Unknown
IBRX,IBRX,"ImmunityBio, Inc.",US,Unknown
LYG,LYG,Lloyds Banking Group plc,US,Unknown
LCID,LCID,"Lucid Group, Inc.",US,Unknown
DKNG,DKNG,DraftKings Inc.,US,Unknown
AUR,AUR,"Aurora Innovation, Inc.",US,Unknown
